Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Derek Anderson,SG,31,MIA,23,3,20.2,1.7,5.7,0.308,0.9,2.9,0.313,0.8,2.7,0.302,0.388,1.4,1.7,0.842,0.4,2.2,2.6,2.1,0.3,0.1,0.7,2.1,5.8
Shandon Anderson,SF,32,MIA,48,1,13.3,1.1,2.6,0.429,0.1,0.4,0.263,1,2.2,0.458,0.448,0.3,0.4,0.722,0.4,1.3,1.7,0.6,0.4,0.1,0.5,1.6,2.6
Martynas Andriuškevičius,C,19,CLE,6,0,1.5,0,0.2,0,0,0,,0,0.2,0,0,0,0,,0.2,0.5,0.7,0,0.3,0,0,0.2,0
Carmelo Anthony,SF,21,DEN,80,80,36.8,9.5,19.7,0.481,0.5,1.9,0.243,9,17.8,0.506,0.493,7.2,8.9,0.808,1.5,3.4,4.9,2.7,1.1,0.5,2.7,2.9,26.5
Rafael Araújo,C,25,TOR,52,34,11.6,1,2.8,0.366,0,0,0,1,2.8,0.368,0.366,0.3,0.5,0.536,0.8,1.9,2.8,0.3,0.5,0.1,0.8,2,2.3
Gilbert Arenas,PG,24,WAS,80,80,42.3,9.3,20.9,0.447,2.5,6.8,0.369,6.8,14.1,0.485,0.507,8.2,10,0.82,0.7,2.8,3.5,6.1,2,0.3,3.7,3.6,29.3
Trevor Ariza,SF,20,TOT,57,10,17.5,1.6,4,0.412,0,0.1,0.2,1.6,3.9,0.416,0.414,1.4,2.2,0.606,1.4,2.5,3.8,1.1,1,0.2,1.1,1.8,4.6
Trevor Ariza,SF,20,NYK,36,10,19.7,1.7,4.1,0.418,0,0.1,0.333,1.7,4,0.42,0.421,1.2,2.1,0.545,1.4,2.4,3.8,1.3,1.2,0.3,1.3,2.2,4.6
Trevor Ariza,SF,20,ORL,21,0,13.8,1.5,3.8,0.4,0,0.1,0,1.5,3.7,0.41,0.4,1.7,2.4,0.7,1.4,2.5,3.9,0.7,0.7,0.1,0.8,1,4.7
Darrell Armstrong,PG,37,DAL,62,2,10,0.7,2.1,0.336,0.2,0.8,0.229,0.5,1.3,0.4,0.379,0.5,0.7,0.786,0.3,1,1.3,1.4,0.4,0,0.9,1.1,2.1
Carlos Arroyo,PG-SG,26,TOT,77,0,15.5,2.2,4.9,0.444,0.1,0.3,0.35,2.1,4.6,0.45,0.454,1.4,1.8,0.774,0.4,1.3,1.7,3,0.5,0.1,1.1,1.5,5.8
Carlos Arroyo,PG,26,DET,50,0,12,1.1,3.1,0.363,0,0.1,0.333,1.1,3,0.364,0.369,0.8,1.2,0.724,0.5,0.9,1.4,3.1,0.4,0.1,0.9,1.5,3.2
Carlos Arroyo,SG,26,ORL,27,0,22,4.1,8.2,0.502,0.2,0.5,0.357,3.9,7.7,0.512,0.514,2.4,2.9,0.81,0.3,1.9,2.2,2.9,0.7,0,1.4,1.6,10.8
Chucky Atkins,PG-SG,31,TOT,71,41,24.1,3.2,8.1,0.394,1.4,3.9,0.354,1.8,4.2,0.431,0.479,1.8,2.3,0.791,0.3,1.4,1.7,2.8,0.6,0,1.2,2.1,9.5
Chucky Atkins,SG,31,WAS,28,2,19.7,2.4,6.2,0.379,1.2,3.3,0.359,1.2,2.9,0.402,0.474,0.8,1.1,0.71,0.4,1.2,1.6,2.5,0.5,0,1.1,2.1,6.7
Chucky Atkins,PG,31,MEM,43,39,27,3.7,9.3,0.401,1.5,4.2,0.352,2.2,5,0.442,0.481,2.5,3.1,0.811,0.3,1.5,1.7,3,0.7,0,1.3,2.2,11.4
Stacey Augmon,SF,37,ORL,36,3,10.7,0.7,2,0.342,0,0,,0.7,2,0.342,0.342,0.6,0.8,0.7,0.5,1,1.5,0.6,0.3,0.2,0.3,1.1,2
Vin Baker,C,34,LAC,8,1,10.6,0.9,1.9,0.467,0,0,,0.9,1.9,0.467,0.467,1.6,2.3,0.722,0.3,2.1,2.4,0.5,0.5,0.5,1.1,1.6,3.4
Marcus Banks,PG,24,TOT,58,29,25.8,3.8,8.1,0.468,0.4,1.1,0.349,3.4,7,0.486,0.491,2,2.5,0.803,0.4,1.9,2.3,3.8,0.9,0.2,2.1,2.8,10
Marcus Banks,PG,24,BOS,18,1,14.9,1.8,4.4,0.413,0.3,1.1,0.316,1.5,3.4,0.443,0.45,1.5,1.7,0.9,0.2,0.8,1.1,1.8,0.4,0,1.3,2.1,5.5
Marcus Banks,PG,24,MIN,40,28,30.7,4.7,9.7,0.479,0.4,1.1,0.364,4.3,8.6,0.494,0.5,2.3,2.9,0.778,0.5,2.4,2.9,4.7,1.2,0.3,2.4,3.1,12
Leandro Barbosa,SG,23,PHO,57,11,27.9,4.8,9.9,0.481,1.5,3.4,0.444,3.3,6.5,0.501,0.558,1.9,2.6,0.755,0.5,2.1,2.6,2.8,0.8,0.1,1.6,2.5,13.1
Matt Barnes,PF-SF,25,TOT,56,5,11.3,1.3,2.5,0.5,0.1,0.3,0.2,1.2,2.2,0.536,0.511,0.6,0.8,0.681,0.9,1.3,2.2,0.5,0.4,0.1,0.5,1.8,3.1
